"","player_name","overall_rating","player_api_id","sum_gk","Number_of_appearances","leagues_played"
"9606","James Craigen",60,354786,52,45,1
"9607","Daryll Meggatt",53,354792,55,2,1
"9608","Marcin Trojanowski",52,355101,48,2,1
"9609","Lukas Raeder",67,355347,341,28,2
"9610","Ivan Paurevic",69,355349,66,2,1
"9611","Marc-Oliver Kempf",71,355356,57,13,1
"9612","Marc Stendera",75,355357,53,48,1
"9613","Christian Guenter",72,355358,55,60,1
"9614","Thomas Pledl",66,355362,51,3,1
"9615","Ilir Azemi",69,355363,49,3,1
"9616","Dariusz Formella",64,355434,62,9,1
"9617","Johnny Vidales",66,355713,34,2,1
"9618","Callum Paterson",67,355739,56,81,1
"9619","Conor Pepper",60,355740,53,2,1
"9620","Darian MacKinnon",57,355744,50,57,1
"9621","Idrissa Mandiang",69,355874,56,57,1
"9622","Morgan Sanson",77,355901,56,64,1
"9623","Fernando Ferreira",69,356068,54,30,1
"9624","Sturgeon",77,356069,65,61,1
"9625","Kay",66,356076,52,10,1
"9626","Luka Djordjevic",68,356378,62,2,2
"9627","Dale Carrick",58,356400,46,20,1
"9628","Zaine Francis-Angol",57,356403,55,39,1
"9629","Steven Hetherington",51,356404,54,1,1
"9630","John McGinn",65,356406,51,76,1
"9631","Santiago Montoya",76,356960,63,4,1
"9632","Lucas Ariel Ocampos",76,357080,53,28,1
"9633","Benjamin-Kantie Karamoko",63,357220,47,1,1
"9634","Jean-David Beauguel",64,357223,47,10,1
"9635","Giovanni Korte",67,357230,45,20,1
"9636","Dariusz Zjawinski",58,357288,59,13,1
"9637","Pawel Baranowski",62,357302,58,34,1
"9638","Dominik Kun",60,357348,51,13,1
"9639","Andrew Robertson",73,357880,50,53,2
"9640","Adama Soumaoro",68,357881,54,30,1
"9641","Leo Baptistao",79,358127,46,74,1
"9642","Ruben Duarte",71,358138,56,32,1
"9643","Antonio Cotan",67,358142,53,3,1
"9644","Sergi Gomez",73,358148,60,43,1
"9645","Patric",69,358149,57,6,1
"9646","Daniele Rugani",78,358155,52,49,1
"9647","Joel Untersee",60,358156,52,35,1
"9648","Pedro Lemos",59,358221,44,1,1
"9649","Carles Gil",75,358289,58,52,2
"9650","David Simon",74,358339,53,24,1
"9651","Vitor Bruno",70,358713,45,20,1
"9652","Marko Bakic",66,358759,51,14,2
"9653","Dimitrios Pelkas",71,358937,63,8,1
"9654","Fabinho",78,359188,47,90,1
"9655","Cristian Benavente",63,359189,49,1,1
"9656","Jose Rodriguez",75,359190,53,17,1
"9657","Omar Mascarell",71,359191,43,20,1
"9658","Lucas Vazquez",78,359193,50,40,1
"9659","Quini",56,359194,127,32,1
"9660","Denis Cheryshev",79,359197,52,25,1
"9661","Levent Aycicek",67,359202,58,5,1
"9662","Thibault Peyre",66,359378,55,31,1
