"","team_long_name","team_api_id","buildUpPlay","chanceCreation","defense","fielded_Players","total_goals"
"128","Udinese",8600,205,199,160,89,415
"129","Wolverhampton Wanderers",8602,140,210,210,41,118
"130","Real Betis Balompié",8603,145,206,165,98,225
"131","FC Twente",8611,131,172,197,95,509
"132","Boavista FC",8613,153,128,148,43,51
"133","Sparta Rotterdam",8614,75,140,90,32,76
"134","Real Madrid CF",8633,153,200,178,68,843
"135","FC Barcelona",8634,122,175,195,58,849
"136","RSC Anderlecht",8635,149,182,190,77,427
"137","Inter",8636,182,203,165,98,496
"138","LOSC Lille",8639,152,184,180,79,450
"139","PSV",8640,153,200,167,70,652
"140","Ross County FC",8649,153,153,143,74,192
"141","Liverpool",8650,171,180,172,89,531
"142","West Ham United",8654,184,171,140,94,326
"143","Blackburn Rovers",8655,185,185,160,55,175
"144","Birmingham City",8658,174,210,210,34,75
"145","West Bromwich Albion",8659,145,195,210,81,305
"146","RCD Mallorca",8661,172,163,156,64,238
"147","Hull City",8667,151,195,210,71,144
"148","Everton",8668,137,180,180,67,439
"149","Legia Warszawa",8673,141,170,195,60,409
"150","FC Groningen",8674,142,177,149,86,390
"151","Bournemouth",8678,140,200,210,22,45
"152","Le Mans FC",8682,115,195,200,33,79
"153","Roma",8686,153,208,155,101,530
"154","FC Lorient",8689,158,180,200,95,378
"155","Reggio Calabria",8690,163,186,140,27,30
"156","Racing Santander",8696,147,205,168,60,160
"157","SV Werder Bremen",8697,174,216,205,90,423
"158","VfL Wolfsburg",8721,170,210,171,83,463
"159","1. FC Köln",8722,171,165,170,71,226
"160","Le Havre AC",9746,154,180,168,32,30
"161","En Avant de Guingamp",9747,169,170,145,41,122
"162","Olympique Lyonnais",9748,161,185,200,74,497
"163","NAC Breda",9761,153,141,143,74,294
"164","Gil Vicente FC",9764,176,152,149,63,110
"165","Sporting CP",9768,178,204,174,104,411
"166","União de Leiria, SAD",9771,100,150,154,61,85
"167","SL Benfica",9772,178,185,175,98,568
"168","FC Porto",9773,173,196,178,94,541
"169","Eintracht Braunschweig",9776,183,195,157,25,29
"170","Servette FC",9777,99,175,170,35,77
"171","RC Deportivo de La Coruña",9783,157,187,154,91,241
"172","Borussia Mönchengladbach",9788,121,185,160,74,403
"173","Borussia Dortmund",9789,170,194,178,63,551
"174","Hamburger SV",9790,164,200,175,84,344
"175","Heracles Almelo",9791,147,173,169,76,403
"176","Reading",9798,144,210,200,27,43
"177","St. Mirren",9800,178,210,200,82,257
"178","Roda JC Kerkrade",9803,133,159,146,82,343
"179","Torino",9804,209,189,145,81,241
"180","CF Os Belenenses",9807,157,160,135,82,148
"181","Naval 1° de Maio",9809,115,165,121,34,71
"182","Eintracht Frankfurt",9810,153,165,151,85,296
"183","Watford",9817,160,205,205,20,40
"184","FC Bayern Munich",9823,105,205,184,65,653
"185","FC Vaduz",9824,141,137,133,54,100
"186","Arsenal",9825,140,150,170,67,573
"187","Crystal Palace",9826,173,205,185,42,119
"188","Girondins de Bordeaux",9827,139,190,195,72,404
"189","AS Monaco",9829,168,165,205,100,287
"190","FC Nantes",9830,189,160,152,66,135
"191","OGC Nice",9831,175,165,210,95,342
"192","Dijon FCO",9836,154,165,149,27,38
"193","Stade de Reims",9837,154,165,140,49,168
"194","VVV-Venlo",9839,100,164,155,57,152
"195","Paris Saint-Germain",9847,174,191,210,66,568
"196","Norwich City",9850,140,195,200,60,160
"197","Stade Rennais FC",9851,167,195,210,95,367
"198","AS Saint-Étienne",9853,165,175,148,88,371
"199","Grenoble Foot 38",9855,140,195,195,39,55
"200","Bologna",9857,164,175,135,114,263
"201","Brescia",9858,141,180,155,27,34
"202","Heart of Midlothian",9860,168,210,200,92,317
"203","Málaga CF",9864,129,191,164,107,377
"204","UD Almería",9865,152,180,193,66,202
"205","CD Tenerife",9867,163,180,174,20,40
"206","Xerez Club Deportivo",9868,104,159,165,21,38
"207","Real Sporting de Gijón",9869,153,185,195,66,200
"208","Valenciennes FC",9873,160,188,155,61,256
"209","FC Sochaux-Montbéliard",9874,164,184,165,72,246
"210","Napoli",9875,180,215,165,80,514
"211","Hellas Verona",9876,157,173,169,60,145
"212","Pescara",9878,152,180,145,33,27
"213","Fulham",9879,142,190,138,72,265
"214","Cesena",9880,143,170,145,71,98
"215","Sampdoria",9882,130,180,175,109,318
